"alucinar","N"
"Los jóvenes , especialmente afectados por las nulas oportunidades q le ofrece #Griñan , están deseando #elcambioandaluz http://t.co/PjcN7AVw","N"
"fragmentada","N"
"defensores","P"
"agraciados","P"
"Se me ha estropeado la caldera. Un técnico llega a los 3d, sin piezas y dice q volverá pasado mañana. #nadietrabaja 1/2","N"
"brumosos","N"
"deslealtad","N"
"visionaria","P"
"toscas","N"
"A las primeras 500 solicitudes recibidas se les enviara una especie de ""entrada"" para acceder al ""evento"".#merendolatuitera","P"
"¡¡¡buenos días twittercillos!! FALTAN 2 DÍAS PARA EL ESTRENO #yeswespainISDIFFERENT en PALMA!!! Entradas en http://t.co/Q9HzeyLP !!ole!","P"
"Curro Romero y su mujer Carmen Tello en el #17CongresoPP para arropar a @marianorajoy y @javierarenas_pp http://t.co/L3m57MdG","P"
"venenos","N"
"Me encanta ir a Bilbao y encontrarme con quien le dice a su hijo: ""Germán es... nieto de uno de los fundadores del Afhletic""","P"
"2 turistas españoles rescatados en Colombia al encallar el velero en que viajaban.","P"
"heretica","N"
"discontinua","N"
"vistosas","P"
"¿Está la Sexta haciendo un experimento de cuánto aguantamos las autopromos en Salvados? Se pasan cinco pueblos. Ya me las se de memoria","N"
"desorbitados","N"
"RT @PaquiVicente: Cosmeticos de lujo y una suite en Moscu el despilfarro final de Sinde http://t.co/uJofOOuh Ah bueeeno, es que la Suite ...","N"
"Me meo con las voces españolas  encima pronuncian Raven como /raiven/ en vez de /reiven/.","N"
"entreverada","N"
"Rajoy: nadie acudirá a rescatarnos. Saldremos con esfuerzo y perseverancia. Nos costara pero lo haremos. #sinbrotesverdes","P"
"Para @LorenzodeAra !  ;) “@moisestve: Os mando un pequeño regalo para l@s que se emocionan con la música de El Padrino: http://t.co/DCdhaqZt","P"
"complementa","P"
"injustificada","N"
"nauseabundo","N"
"enfurruñada","N"
"Que os parece que @Gllamazares pretenda usar sus privilegios de diputado para que a sus recomendados se les perdonen las multas?","N"
"negar","N"
"ensordecedor","N"
"pesadumbre","N"
"atonicos","N"
"negacion","N"
"fantasias","P"
"opresores","N"
"Desde las últimas elecciones andaluzas más de 275.000 jóvenes andaluces han ido al paro #GriñanVeteTu","N"
"alaaaaaaaa “@AlbertoCuellarr: @maykanavarro un mordisco mejor ;-)”","P"
"agotados","N"
"inexpertas","N"
""" la formación será derecho individual de cada trabajador y vamos a mejorar la empleabilidad"" @fatimabanez #elcambioandaluz","P"
"Covergència,después de su congreso,ha marcado claro su objetivo: llevar a Cataluña al conflicto social desde la insumisión d coche oficial","N"
"hostigados","N"
"Cada vez se parece mas @Fede_dejuan a Alvaro Nadal con esa peluca!!! Es la leche, :DDDDDD","N"
"pensativa","P"
"instigar","N"
"embellecer","P"
